category,path,purpose,last_known_use,duplicates_or_related,dependencies,complete,recommended_future_use,already_on_github_main_before_rescue
A,claire_gui.py,Primary FastAPI app; serves public HTML/JS UI and ~47 backend routes including /reply and /veritas-legal/run,"Live now, claire-gui.service port 8000/8011",n/a,"ClaireRuntime, nemotron_adapter, original_are_bridge, faiss_are_index, veritas_legal, static/, and ~21 root modules listed below",yes,Keep as-is; this is the CLAIRE production entry point,yes
A,claire_runtime.py,"ClaireRuntime.handle_user_message() - the real governed pipeline (3CRP, Gyro, ARE recall, Recognition Rail, Q Insight, EchoShield, Sentinel, Truth Spine)",Live now; called from claire_gui.py:171/12816,n/a,"claire_runtime_truth, are_memory_store, authority_capsule, claire/runtime/gyro, claire/runtime/loopback, claire_core/adapters/echoshield+sentinel, faiss_are_index, lane_classifier, claire_runtime_router, memory_committer, memory_eligibility, nemotron_adapter, temporal_engine, trace_logger, original_are_bridge",yes,Keep as-is; this is the asset the whole preservation effort is protecting,yes
A,claire_runtime_truth.py,RuntimeTruthSpine - the live hash-chained/HMAC-signed Truth Spine,"Live now; modified today (flock timeout fix, tested)",claire_are/truth_spine.py (see B below - a second unused implementation),fcntl/hashlib/hmac stdlib only,yes,Keep as-is,yes (modified this session)
A,nemotron_adapter.py,Model adapter: NVIDIA NIM remote call + local llama.cpp bridge fallback,Live now,n/a,requests,yes,Keep as-is,yes
A,original_are_bridge.py,Reads/writes the real ARE JSONL memory file (reimplements the record format independently of the true AREStore class),Live now,"Does NOT call the real AREStore (see B: /home/LuciusPrime/original_are.pyiginal_are.py/are.py, outside this repo)",n/a,yes,Keep as-is,yes
A,faiss_are_index.py,FaissAREIndex - vector/embedding search over ARE JSONL records,Live now,n/a,faiss (optional; degrades to deterministic embedding),yes,Keep as-is,yes
A,are_memory_store.py,AREMemoryStore - SQLite-backed alternate memory store,"Defined and imported but NOT instantiated in the live default ClaireRuntime() (memory_store=None in production)",are_memory_store vs original_are_bridge vs claire_are/core.py - three different ARE lineages,sqlite3,yes,"Keep; document clearly that it's dormant by default, not deleted code",yes
A,temporal_engine.py,TemporalEngine - session/turn timing and relative-time resolution,"Live now; added 2026-07-18, wired into every turn",n/a,zoneinfo (stdlib),yes,Keep as-is,yes
A,trace_logger.py,TraceLogger - SQLite+JSONL trace log written once per turn,Live now,n/a,sqlite3,yes,Keep as-is,yes
A,handshake_broker.py,HandshakeBroker - resolves AuthorityCapsule per request,Live now,n/a,n/a,yes,Keep as-is,yes
A,authority_capsule.py,AuthorityCapsule dataclass/logic used by handshake_broker and throughout the pipeline,Live now,n/a,n/a,yes,Keep as-is,yes
A,diode_protocol.py,DiodeProtocol - secret redaction/detection used throughout handle_user_message,Live now,n/a,n/a,yes,Keep as-is,yes
A,entity_registry.py,identify_entities() used in handle_user_message,Live now,n/a,n/a,yes,Keep as-is,yes
A,lane_classifier.py,classify_lane() - lane/routing classification,Live now,n/a,n/a,yes,Keep as-is,yes
A,claire_runtime_router.py,"c3rp_classify, normalize_input, provisional_orientation for the 3CRP first pass",Live now,n/a,n/a,yes,Keep as-is,yes
A,memory_committer.py,should_commit_memory / commit_if_needed gating,Live now,n/a,n/a,yes,Keep as-is,yes
A,memory_eligibility.py,evaluate_memory_eligibility() gating,Live now,n/a,n/a,yes,Keep as-is,yes
A,context_builder.py,build_context_packet() / render_context_packet() for model prompts,Live now,n/a,n/a,yes,Keep as-is,yes
A,current_truth_loader.py,load_current_truth / truth_for_lane,Live now,n/a,n/a,yes,Keep as-is,yes
A,language_guard.py,strengthen_confidence_language() answer post-processing,Live now,n/a,n/a,yes,Keep as-is,yes
A,nvidia_mode.py,apply_nvidia_mode / nvidia_constraints for NVIDIA_PATHWAY lane,Live now,n/a,n/a,yes,Keep as-is,yes
A,sentinel_validator.py,validate_response() output validation,Live now,"name collision with claire_sentinel/ and sentinel_core/ (both B, unrelated implementations)",n/a,yes,Keep as-is,yes
A,archimedes_demo.py,Support module for the Archimedes demo scenario,Live now (demo path),n/a,n/a,yes,Keep as-is,yes
A,claire_core/adapters/echoshield.py,EchoShield context-defense classifier,Live now,n/a,n/a,yes,Keep as-is,yes
A,claire_core/adapters/sentinel.py,RuntimeSentinel - the real, live Sentinel used by ClaireRuntime,Live now,"claire_sentinel/ and sentinel_core/ are separate, unrelated B implementations of a similarly-named concept",n/a,yes,Keep as-is,yes
A,claire_core/runtime/feature_flags.py,current_feature_flags() used by claire_runtime.py and claire_gui.py /status,Live now,n/a,n/a,yes,Keep as-is,yes
A,claire_core/runtime/shadow_mode.py,evaluate_shadow() used when CLAIRE_CORE_SHADOW_MODE flag is set,Live now (conditional),n/a,n/a,yes,Keep as-is,yes
A,claire_core/runtime/health.py,core_health() used by /status,Live now,n/a,n/a,yes,Keep as-is,yes
A,veritas_legal/,"EvidenceEngine, claire_explains_summary, safe_id - the real engine behind /veritas-legal/run (confirmed doing genuine OCR parsing + evidence ingestion this session)",Live now,n/a,n/a,yes,Keep as-is,yes
A,static/,"logo.png etc, served via FastAPI StaticFiles mount at claire_gui.py:1050",Live now,n/a,n/a,yes,Keep as-is,yes
A,claire_vde/ (api.py + core files not listed individually here),"Venture-engine API, actually running as its own Docker container claire-venture-api-1 (uvicorn claire_vde.api:app, port 8030)",Live now (separate service),n/a,"postgres:16, redis:7 containers (confirmed running but not verified wired to core CLAIRE chat path)",appears yes,Keep as-is; verify container-vs-repo version parity separately,partially (fare.py/q_insight_venture.py/recognition_rail.py/sentinel.py/tests/ were newly added by this session's rescue commit; rest of claire_vde was already on main)
B,/home/LuciusPrime/original_are.pyiginal_are.py/are.py,"The TRUE original 70-line AREStore class (init, _get_avail_kb, _memory_watchdog, _writer_loop, _trim_if_needed, ingest, last_n). Confirmed authoritative ground truth this session.",Never imported anywhere in this repo; lives entirely outside it,"original_are_bridge.py reimplements its record format independently rather than calling this class",none,yes (complete, working),"High value - reconnect original_are_bridge.py to actually call this class, or formally retire it with a documented decision. NOT part of this repo's git tree at all (outside /home/LuciusPrime/claire) - flagged for separate preservation action, not covered by this rescue branch.",no (outside repo entirely)
B,claire_are/core.py,"A second, Truth-Spine-based AREStore reimplementation (ingest/log_event/recall/verify/audit_recent/stop) - completely different method set from the true original",Not called by claire_runtime.py or claire_gui.py,"Duplicates original_are_bridge.py's role; uses claire_are/truth_spine.py (also unused by live path)",claire_are/config.py, claire_are/diode_guard.py,yes (self-consistent, has its own tests in claire_are/tests/),Candidate for consolidation with original_are_bridge.py or explicit retirement,yes
B,claire_are/truth_spine.py,"A second TruthSpine implementation (segmented JSONL, HMAC-signed) - architecturally sound (hashes full envelope incl. sequence/lane) but unused by the live path",Only used by claire_are/core.py (itself unused),Duplicates claire_runtime_truth.py's role,none beyond stdlib,yes,Consolidate with claire_runtime_truth.py or retire,yes
B,claire_are/ (api.py, gateway.py, sdk.py, schemas.py, config.py, diode_guard.py, hf_demo_app.py),Plugin-style ARE package with its own API/gateway/SDK surface and a Hugging Face demo app,Not wired into live claire_gui.py/claire_runtime.py,"hf_demo_app.py is one of at least 4 separate HF-demo scaffolds in this repo (see also are_hf_demo/, hf_space/, hf_claire_runtime_full/, claire_control_interface/)",claire_are/core.py,appears complete,"Review as a possible cleaner ARE plugin boundary for the eventual HF twin, but do not use hf_demo_app.py as the Phase 3 reference per explicit instruction",yes
B,are_memory_store.py duplicate concept - N/A (listed under A above since it IS imported; flagged here only for cross-reference),,,,,,,
B,claire_sentinel/,"Standalone Sentinel package with its own README, capsule model (are_capsules.py), audit.py, cli.py",Not imported by claire_gui.py or claire_runtime.py,"Third distinct 'Sentinel' concept alongside claire_core/adapters/sentinel.py (live) and sentinel_core/ (below)",self-contained,appears complete (has README + CLI),Needs a decision: consolidate the three Sentinel implementations or document why each exists,yes
B,sentinel_core/,"apex_controller.py, are_server.py, sentinel_ingest.py - another Sentinel-adjacent package",Not imported by claire_gui.py or claire_runtime.py,Third/fourth Sentinel-named implementation (see claire_sentinel/ and claire_core/adapters/sentinel.py),unclear without deeper read,unclear,Needs the same consolidation review as claire_sentinel/,yes
B,apex/,"apex_server.py, investor_primary.py, investor_scout.py, and an oddly-named 'Claire's Odyssey ' file",Not wired into live path; name suggests an investor-facing or autonomous-agent experiment,Unclear relationship to sentinel_core/apex_controller.py - worth checking for overlap,unknown without deeper read,unknown,"Needs a short scoping read before any decision; do not discard",yes
B,are_hf_demo/,"Standalone Gradio-style app.py + are_store.py, its own requirements.txt",Not part of the live Azure request path,One of 4+ HF-demo scaffolds in this repo,gradio (per requirements.txt name convention),appears complete,"Likely superseded by hf_claire_runtime_full/ (which wraps the real claire_gui app); verify before retiring",yes
B,gumroad_builds/,"ARE-Spectacle packaging for commercial sale via Gumroad: build scripts, GitHub Actions workflow, listing copy",Commercial packaging effort, not a running service,n/a,Windows/Nuitka build scripts + CI workflow,appears complete as a packaging pipeline,Preserve for the commercial-productization track discussed in the forensic report,yes
B,claire_control_interface/,"Gradio app.py - self-documented in its own docstring as 'This is not production CLAIRE. It is a controlled demo'. Confirmed via live Hugging Face lookup this session to be the actual current source of Blackstormhorse/CLAIRE_Control_Interface Space (SDK=gradio, last updated 2 Jul 2026).",Currently deployed to the live HF Space (as the primitive demo),"This IS the 'primitive demo' the Phase 3 instructions say not to use as design reference",gradio,yes (complete as a demo),"Preserve as historical record of the pre-twin Space state; back up before Phase 3 overwrites it, per instructions",yes
B,experiments/nemo_guardrails_claire/,NeMo Guardrails experiment - test_cases.json + README,"Possibly related to the CLAIRE_NEMO_GUARDRAILS=1 env var set on claire-gui.service - relationship not confirmed this session",Unclear if any code from here is actually imported at runtime,nemoguardrails (implied),unclear,Needs a follow-up check of whether CLAIRE_NEMO_GUARDRAILS=1 actually loads code from this directory,yes
B,configs/,"claire_mind.txt, configs/minds/{advocate,founder}.txt - persona/prompt text files",Not found to be referenced by claire_gui.py or claire_runtime.py in this session's checks,Possibly superseded by inline prompt construction in nemotron_adapter.py::build_messages,none,unclear,Needs a follow-up grep pass before deciding relevance,yes
B,hf_space/,"A full HF Space deployment scaffold: Dockerfile, start_hf_space.sh, model download/healthcheck scripts, its own demo_data/are_mem.jsonl",Not currently deployed (superseded-looking relative to hf_claire_runtime_full/),"Second of two competing HF deployment scaffolds; hf_claire_runtime_full/ is the one that actually wraps the real claire_gui:app",n/a,appears complete,"Compare against hf_claire_runtime_full/ before choosing which to use for the Phase 3 twin; do not delete either until compared",yes
B,hf_claire_runtime_full/,"app.py is a 16-line wrapper doing 'from claire_gui import app' - directly re-exports the real production app. Has its own Dockerfile/start.sh/requirements.txt. deploy/huggingface/claire.manifest.json names this as the intended root_source_path for the CLAIRE_Control_Interface twin.",Not currently deployed,"Preferred over hf_space/ and claire_control_interface/ for Phase 3, since it wraps real code rather than reimplementing a demo",claire_gui.py (imports it directly),appears ready,"Strong candidate to be the actual Phase 3 deployment package once HF_TOKEN is available",yes
B,claire_continuity/,"core.py, demo.py - a continuity-related module",Not imported by claire_gui.py or claire_runtime.py in this session's checks,"Named in deploy/huggingface/claire.manifest.json's source_paths list, suggesting it was intended to ship with the HF twin",unclear,unclear,Confirm intended role before Phase 3 packaging,yes
B,claire_core/ (capability_registry.py, core.py, models.py, config.py, engines/, ports/),"Broader 'claire core' framework beyond the confirmed-live adapters/runtime files listed under A",Only echoshield.py/sentinel.py/feature_flags.py/shadow_mode.py/health.py within claire_core/ are confirmed live; these others were not confirmed imported this session,n/a,unclear,unclear,Needs a follow-up import-trace pass,yes
B,claire_core/adapters/lycanthrope.py,"Lycanthrope RuntimeMode/ModePermissions overwatch class - static permission matrix, no threads/async/detection logic",Confirmed this session: zero references anywhere in claire_runtime.py; not instantiated live,n/a,none,"yes, but structurally inert (does nothing on its own)",Either wire it in as intended (background/async overwatch) or document clearly that it's a policy-lookup table only,yes
B,claire_core/adapters/sweeperbots.py,Unknown-purpose adapter (name suggests automated cleanup/bot detection),Confirmed this session: not imported by claire_gui.py or claire_runtime.py,unknown,unknown,unknown,Needs a short scoping read,yes
B,veritas/veritas_trader_engine.py + related (coinbase_kraken_arbitrage.py; faiss_analog.py; kraken_microstructure.py; kraken_public_candle_updater.py; kraken_trade_importer.py; veritas_paper_runtime.py),"A full crypto paper-trading engine including its own AREStore-named class (a third divergent lineage, traced this session) and Kraken/Coinbase market-data integrations",No systemd service or Docker container found running this as its own process this session,"veritas_trader_engine.py contains yet another AREStore implementation, distinct from original_are_bridge.py and claire_are/core.py",Kraken/Coinbase API clients,appears substantially complete (has its own tests),"Newly preserved by this session's rescue commit (was untracked before). Needs an explicit decision: is this meant to run as a standalone service, and if so, does it need a systemd unit?",no (newly rescued - was entirely untracked)
B,_paused_global_claire_teacher_mode/ (in claire-veritas-legal repo),"claire_runtime.py, correction_learning.py, correction_store.py, lane_classifier.py, sentinel_validator.py, teacher_mode.py - a paused correction-learning feature",Directory name says 'paused'; not wired into the live claire-veritas-legal.service,Contains its own claire_runtime.py and sentinel_validator.py - names collide with the CLAIRE repo's live files but this is a separate, Veritas-repo-local implementation,unclear,appears substantial (6 files),"Newly preserved by this session's rescue commit (was entirely untracked in the Veritas repo). Needs a decision from whoever paused it on resuming or formally shelving it.",no (newly rescued - was entirely untracked, Veritas repo)
C,github_cleanup_audit/,"Contains full clones of many OTHER GitHub repos under repo_clones/ (clairetech2025-max/* and Claire-Systems/*), some with broken/partial embedded git state",Audit artifact from a prior cleanup session,"Duplicates content already preserved natively on GitHub in those repos' own histories; git itself refused to add several of these paths (broken embedded repos)",n/a,n/a,"Excluded from this rescue branch via .gitignore. Do not delete from disk until independently confirmed each cloned repo's content is safe on its own GitHub remote.",yes (was already on main; NOT included in rescue branch's new commit)
C,benchmark_results/,Generated benchmark run output (timestamped directories of results),Generated data,Reproducible by re-running benchmarks/are_truth_spine_sustained_load.py,n/a,n/a,"Excluded from this rescue branch via .gitignore; regenerable, low preservation priority",yes (was already on main)
C,CLAIRE_*.md / GITHUB_*.md / DRIVE_*.md / VERITAS_*.md / GREEN_*.md status-report documents (dozens of files at repo root and in docs/),"Session-generated audit/status/planning reports, many likely overlapping or superseding earlier ones on similar topics (e.g. multiple GitHub inventory/classification/cleanup reports)",Historical record of prior investigation sessions,"Not individually cross-compared for redundancy this session due to volume - flagged as NEEDS REVIEW rather than confirmed redundant",n/a,n/a,"Preserved as-is in this rescue branch (low risk, small text files). Recommend a follow-up pass to identify which reports are superseded by later ones and consolidate.",no (all newly rescued - were untracked)
D,/models (symlink),"GGUF model weight binaries (5 files, ~30GB total: Qwen2.5-1.5B/14B, Qwen3-8B/14B, Qwen3.5-9B) at /mnt/inspect_nvme0n2p1/.../CLAIRE_SAFE_STORAGE/claire_backup_20260616_163412/models",Actively used by the two live llama-server processes,n/a,n/a,n/a,"Never commit to git. Already excluded via .gitignore this session. The symlink target (CLAIRE_SAFE_STORAGE) suggests a separate backup mechanism already exists for these - verify it independently, do not assume.",n/a
D,veritas/veritas_system_ledger.db + veritas/paper_state*/ + veritas/are_data/ + veritas/public_candles/ + veritas/run_logs/,"Live trading ledger database and paper-trading run history/state",Runtime data generated by veritas_trader_engine.py,n/a,n/a,n/a,Excluded via .gitignore this session. Not committed.,n/a
D,claire_state/sentinel/ (actions.jsonl + report.md),Sentinel runtime action log and generated report,Runtime output,n/a,n/a,n/a,Excluded via .gitignore this session. Not committed.,n/a
D,All *.log files repo-wide (gui.log; go.log; are.log; ingest.log; llama.log; etc.),Live application logs,Runtime output,n/a,n/a,n/a,Already covered by existing .gitignore *.log rule. Not committed.,n/a
D,.env / secrets/ / *.key / *.pem,Credentials and environment configuration,n/a,n/a,n/a,n/a,Already covered by existing .gitignore. Confirmed clean via security_scan.py + supplementary pattern check before every commit this session.,n/a
